2025-07-14 12:03:22.206 WARN  (coreLoadExecutor-11-thread-1) [ x:userSetting] o.a.s.c.SolrConfig Ignored deprecated enableRemoteStreaming in config; use sys-prop
2025-07-14 12:03:22.209 INFO  (coreLoadExecutor-11-thread-1) [ x:userSetting] o.a.s.s.IndexSchema Schema name=test
2025-07-14 12:03:22.210 INFO  (coreLoadExecutor-11-thread-1) [ x:userSetting] o.a.s.s.IndexSchema Loaded schema test/1.6 with uniqueid field ID
2025-07-14 12:03:22.210 INFO  (coreLoadExecutor-11-thread-1) [ x:userSetting] o.a.s.c.CoreContainer Creating SolrCore 'userSetting' using configuration from instancedir /Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/userSetting, trusted=true
2025-07-14 12:03:22.211 INFO  (coreLoadExecutor-11-thread-1) [ x:userSetting] o.a.s.c.SolrCore Opening new SolrCore at [/Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/userSetting], dataDir=[/Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/userSetting/data/]
2025-07-14 12:03:22.231 INFO  (coreLoadExecutor-11-thread-3) [ x:content] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2025-07-14 12:03:22.240 INFO  (coreLoadExecutor-11-thread-3) [ x:content] o.a.s.u.CommitTracker Hard AutoCommit: disabled
2025-07-14 12:03:22.240 INFO  (coreLoadExecutor-11-thread-3) [ x:content] o.a.s.u.CommitTracker Soft AutoCommit: disabled
2025-07-14 12:03:22.296 INFO  (coreLoadExecutor-11-thread-1) [ x:userSetting] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2025-07-14 12:03:22.305 INFO  (coreLoadExecutor-11-thread-1) [ x:userSetting] o.a.s.u.CommitTracker Hard AutoCommit: disabled
2025-07-14 12:03:22.305 INFO  (coreLoadExecutor-11-thread-1) [ x:userSetting] o.a.s.u.CommitTracker Soft AutoCommit: disabled
2025-07-14 12:03:22.329 INFO  (coreLoadExecutor-11-thread-3) [ x:content] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: /Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/content/conf
2025-07-14 12:03:22.330 INFO  (coreLoadExecutor-11-thread-3) [ x:content] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2025-07-14 12:03:22.332 INFO  (searcherExecutor-43-thread-1-processing-content) [ x:content] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2025-07-14 12:03:22.334 INFO  (coreLoadExecutor-11-thread-3) [ x:reply] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.8.0
2025-07-14 12:03:22.334 WARN  (coreLoadExecutor-11-thread-3) [ x:reply] o.a.s.c.SolrConfig Ignored deprecated enableRemoteStreaming in config; use sys-prop
2025-07-14 12:03:22.338 INFO  (coreLoadExecutor-11-thread-3) [ x:reply] o.a.s.s.IndexSchema Schema name=test
2025-07-14 12:03:22.338 INFO  (coreLoadExecutor-11-thread-1) [ x:userSetting] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: /Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/userSetting/conf
2025-07-14 12:03:22.338 INFO  (coreLoadExecutor-11-thread-1) [ x:userSetting] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2025-07-14 12:03:22.340 INFO  (coreLoadExecutor-11-thread-3) [ x:reply] o.a.s.s.IndexSchema Loaded schema test/1.6 with uniqueid field ID
2025-07-14 12:03:22.340 INFO  (coreLoadExecutor-11-thread-3) [ x:reply] o.a.s.c.CoreContainer Creating SolrCore 'reply' using configuration from instancedir /Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/reply, trusted=true
2025-07-14 12:03:22.340 INFO  (searcherExecutor-48-thread-1-processing-userSetting) [ x:userSetting] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
2025-07-14 12:03:22.340 INFO  (coreLoadExecutor-11-thread-3) [ x:reply] o.a.s.c.SolrCore Opening new SolrCore at [/Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/reply], dataDir=[/Users/ravi.dhyani/Desktop/mine/git/jar/solr-9.4.0/server/solr/reply/data/]
2025-07-14 12:03:22.342 INFO  (coreLoadExecutor-11-thread-1) [ x:apiKey] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.8.0
2025-07-14 12:03:22.342 WARN  (coreLoadExecutor-11-thread-1) [ x:apiKey] o.a.s.c.SolrConfig Ignored deprecated enableRemoteStreaming in config; use sys-prop
2025-07-14 12:03:22.343 WARN  (coreLoadExecutor-11-thread-1) [ x:apiKey] o.a.s.s.ManagedIndexSchemaFactory The schema has been upgraded to managed, but the non-managed schema schema.xml is still loadable.  PLEASE REMOVE THIS FILE.
2025-07-14 12:03:22.346 INFO  (coreLoadExecutor-11-thread-2) [ x:graphDeploymentStatus] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2025-07-14 12:03:22.347 INFO  (coreLoadExecutor-11-thread-1) [ x:apiKey] o.a.s.s.IndexSchema Schema name=test
